Ref_Date,GEO,Value
2009,"Yarmouth, Nova Scotia",F
2010,"Yarmouth, Nova Scotia",F
2011,"Yarmouth, Nova Scotia",F
2012,"Yarmouth, Nova Scotia",..
2013,"Yarmouth, Nova Scotia",F
2009,"Yarmouth, Nova Scotia",F
2010,"Yarmouth, Nova Scotia",F
2011,"Yarmouth, Nova Scotia",F
2012,"Yarmouth, Nova Scotia",..
2013,"Yarmouth, Nova Scotia",..
2009,"Yarmouth, Nova Scotia",..
2010,"Yarmouth, Nova Scotia",..
2011,"Yarmouth, Nova Scotia",..
2012,"Yarmouth, Nova Scotia",..
2013,"Yarmouth, Nova Scotia",..
2009,"Bathurst, New Brunswick",371
2010,"Bathurst, New Brunswick",361
2011,"Bathurst, New Brunswick",357
2012,"Bathurst, New Brunswick",350
2013,"Bathurst, New Brunswick",349
2009,"Bathurst, New Brunswick",425
2010,"Bathurst, New Brunswick",439
2011,"Bathurst, New Brunswick",452
2012,"Bathurst, New Brunswick",461
2013,"Bathurst, New Brunswick",474
2009,"Bathurst, New Brunswick",533
2010,"Bathurst, New Brunswick",545
2011,"Bathurst, New Brunswick",555
2012,"Bathurst, New Brunswick",582
2013,"Bathurst, New Brunswick",591
2009,"Bathurst, New Brunswick",534
2010,"Bathurst, New Brunswick",540
2011,"Bathurst, New Brunswick",548
2012,"Bathurst, New Brunswick",570
2013,"Bathurst, New Brunswick",584
2009,"Bathurst, New Brunswick",..
2010,"Bathurst, New Brunswick",..
2011,"Bathurst, New Brunswick",..
2012,"Bathurst, New Brunswick",..
2013,"Bathurst, New Brunswick",..
2009,"Bathurst, New Brunswick",..
2010,"Bathurst, New Brunswick",F
2011,"Bathurst, New Brunswick",F
2012,"Bathurst, New Brunswick",F
2013,"Bathurst, New Brunswick",F
2009,"Bathurst, New Brunswick",547
2010,"Bathurst, New Brunswick",593
2011,"Bathurst, New Brunswick",594
2012,"Bathurst, New Brunswick",632
2013,"Bathurst, New Brunswick",662
2009,"Bathurst, New Brunswick",F
2010,"Bathurst, New Brunswick",F
2011,"Bathurst, New Brunswick",F
2012,"Bathurst, New Brunswick",F
2013,"Bathurst, New Brunswick",F
2009,"Bathurst, New Brunswick",371
2010,"Bathurst, New Brunswick",361
2011,"Bathurst, New Brunswick",357
2012,"Bathurst, New Brunswick",350
2013,"Bathurst, New Brunswick",349
2009,"Bathurst, New Brunswick",425
2010,"Bathurst, New Brunswick",438
2011,"Bathurst, New Brunswick",451
2012,"Bathurst, New Brunswick",460
2013,"Bathurst, New Brunswick",471
2009,"Bathurst, New Brunswick",532
2010,"Bathurst, New Brunswick",542
2011,"Bathurst, New Brunswick",552
2012,"Bathurst, New Brunswick",579
2013,"Bathurst, New Brunswick",585
2009,"Bathurst, New Brunswick",523
2010,"Bathurst, New Brunswick",532
2011,"Bathurst, New Brunswick",539
2012,"Bathurst, New Brunswick",561
2013,"Bathurst, New Brunswick",577
2009,"Bathurst, New Brunswick",370
2010,"Bathurst, New Brunswick",361
2011,"Bathurst, New Brunswick",356
2012,"Bathurst, New Brunswick",349
2013,"Bathurst, New Brunswick",349
2009,"Bathurst, New Brunswick",432
2010,"Bathurst, New Brunswick",446
2011,"Bathurst, New Brunswick",455
2012,"Bathurst, New Brunswick",468
2013,"Bathurst, New Brunswick",479
2009,"Bathurst, New Brunswick",536
2010,"Bathurst, New Brunswick",551
2011,"Bathurst, New Brunswick",562
2012,"Bathurst, New Brunswick",594
2013,"Bathurst, New Brunswick",603
2009,"Bathurst, New Brunswick",542
2010,"Bathurst, New Brunswick",533
2011,"Bathurst, New Brunswick",556
2012,"Bathurst, New Brunswick",614
2013,"Bathurst, New Brunswick",627
2009,"Campbellton, New Brunswick part, New Brunswick/Quebec",395
2010,"Campbellton, New Brunswick part, New Brunswick/Quebec",406
2011,"Campbellton, New Brunswick part, New Brunswick/Quebec",409
2012,"Campbellton, New Brunswick part, New Brunswick/Quebec",398
2013,"Campbellton, New Brunswick part, New Brunswick/Quebec",415
2009,"Campbellton, New Brunswick part, New Brunswick/Quebec",418
2010,"Campbellton, New Brunswick part, New Brunswick/Quebec",431
2011,"Campbellton, New Brunswick part, New Brunswick/Quebec",439
2012,"Campbellton, New Brunswick part, New Brunswick/Quebec",439
2013,"Campbellton, New Brunswick part, New Brunswick/Quebec",447
2009,"Campbellton, New Brunswick part, New Brunswick/Quebec",527
2010,"Campbellton, New Brunswick part, New Brunswick/Quebec",527
2011,"Campbellton, New Brunswick part, New Brunswick/Quebec",542
2012,"Campbellton, New Brunswick part, New Brunswick/Quebec",555
2013,"Campbellton, New Brunswick part, New Brunswick/Quebec",557
2009,"Campbellton, New Brunswick part, New Brunswick/Quebec",600
2010,"Campbellton, New Brunswick part, New Brunswick/Quebec",562
2011,"Campbellton, New Brunswick part, New Brunswick/Quebec",646
2012,"Campbellton, New Brunswick part, New Brunswick/Quebec",640
2013,"Campbellton, New Brunswick part, New Brunswick/Quebec",631
2009,"Campbellton, New Brunswick part, New Brunswick/Quebec",..
2010,"Campbellton, New Brunswick part, New Brunswick/Quebec",..
2011,"Campbellton, New Brunswick part, New Brunswick/Quebec",..
2012,"Campbellton, New Brunswick part, New Brunswick/Quebec",..
2013,"Campbellton, New Brunswick part, New Brunswick/Quebec",..
2009,"Campbellton, New Brunswick part, New Brunswick/Quebec",..
2010,"Campbellton, New Brunswick part, New Brunswick/Quebec",..
2011,"Campbellton, New Brunswick part, New Brunswick/Quebec",..
2012,"Campbellton, New Brunswick part, New Brunswick/Quebec",..
2013,"Campbellton, New Brunswick part, New Brunswick/Quebec",..
2009,"Campbellton, New Brunswick part, New Brunswick/Quebec",..
2010,"Campbellton, New Brunswick part, New Brunswick/Quebec",..
2011,"Campbellton, New Brunswick part, New Brunswick/Quebec",..
2012,"Campbellton, New Brunswick part, New Brunswick/Quebec",..
2013,"Campbellton, New Brunswick part, New Brunswick/Quebec",..
2009,"Campbellton, New Brunswick part, New Brunswick/Quebec",..
2010,"Campbellton, New Brunswick part, New Brunswick/Quebec",..
2011,"Campbellton, New Brunswick part, New Brunswick/Quebec",..
2012,"Campbellton, New Brunswick part, New Brunswick/Quebec",..
2013,"Campbellton, New Brunswick part, New Brunswick/Quebec",..
2009,"Campbellton, New Brunswick part, New Brunswick/Quebec",395
2010,"Campbellton, New Brunswick part, New Brunswick/Quebec",406
2011,"Campbellton, New Brunswick part, New Brunswick/Quebec",409
2012,"Campbellton, New Brunswick part, New Brunswick/Quebec",398
2013,"Campbellton, New Brunswick part, New Brunswick/Quebec",415
2009,"Campbellton, New Brunswick part, New Brunswick/Quebec",418
2010,"Campbellton, New Brunswick part, New Brunswick/Quebec",431
2011,"Campbellton, New Brunswick part, New Brunswick/Quebec",439
2012,"Campbellton, New Brunswick part, New Brunswick/Quebec",439
2013,"Campbellton, New Brunswick part, New Brunswick/Quebec",447
2009,"Campbellton, New Brunswick part, New Brunswick/Quebec",527
2010,"Campbellton, New Brunswick part, New Brunswick/Quebec",527
2011,"Campbellton, New Brunswick part, New Brunswick/Quebec",542
2012,"Campbellton, New Brunswick part, New Brunswick/Quebec",555
2013,"Campbellton, New Brunswick part, New Brunswick/Quebec",557
2009,"Campbellton, New Brunswick part, New Brunswick/Quebec",600
2010,"Campbellton, New Brunswick part, New Brunswick/Quebec",562
2011,"Campbellton, New Brunswick part, New Brunswick/Quebec",646
2012,"Campbellton, New Brunswick part, New Brunswick/Quebec",640
2013,"Campbellton, New Brunswick part, New Brunswick/Quebec",631
2009,"Campbellton, New Brunswick part, New Brunswick/Quebec",415
2010,"Campbellton, New Brunswick part, New Brunswick/Quebec",415
2011,"Campbellton, New Brunswick part, New Brunswick/Quebec",433
2012,"Campbellton, New Brunswick part, New Brunswick/Quebec",412
2013,"Campbellton, New Brunswick part, New Brunswick/Quebec",437
2009,"Campbellton, New Brunswick part, New Brunswick/Quebec",431
2010,"Campbellton, New Brunswick part, New Brunswick/Quebec",443
2011,"Campbellton, New Brunswick part, New Brunswick/Quebec",453
2012,"Campbellton, New Brunswick part, New Brunswick/Quebec",452
2013,"Campbellton, New Brunswick part, New Brunswick/Quebec",464
2009,"Campbellton, New Brunswick part, New Brunswick/Quebec",553
2010,"Campbellton, New Brunswick part, New Brunswick/Quebec",559
2011,"Campbellton, New Brunswick part, New Brunswick/Quebec",573
2012,"Campbellton, New Brunswick part, New Brunswick/Quebec",582
2013,"Campbellton, New Brunswick part, New Brunswick/Quebec",583
2009,"Campbellton, New Brunswick part, New Brunswick/Quebec",634
2010,"Campbellton, New Brunswick part, New Brunswick/Quebec",567
2011,"Campbellton, New Brunswick part, New Brunswick/Quebec",631
2012,"Campbellton, New Brunswick part, New Brunswick/Quebec",653
2013,"Campbellton, New Brunswick part, New Brunswick/Quebec",650
2009,"Edmundston, New Brunswick",356
2010,"Edmundston, New Brunswick",355
2011,"Edmundston, New Brunswick",356
2012,"Edmundston, New Brunswick",360
2013,"Edmundston, New Brunswick",370
2009,"Edmundston, New Brunswick",411
2010,"Edmundston, New Brunswick",425
2011,"Edmundston, New Brunswick",439
2012,"Edmundston, New Brunswick",426
2013,"Edmundston, New Brunswick",445
2009,"Edmundston, New Brunswick",467
2010,"Edmundston, New Brunswick",484
2011,"Edmundston, New Brunswick",484
2012,"Edmundston, New Brunswick",497
2013,"Edmundston, New Brunswick",511
2009,"Edmundston, New Brunswick",516
2010,"Edmundston, New Brunswick",543
2011,"Edmundston, New Brunswick",522
2012,"Edmundston, New Brunswick",564
2013,"Edmundston, New Brunswick",562
2009,"Edmundston, New Brunswick",..
2010,"Edmundston, New Brunswick",..
2011,"Edmundston, New Brunswick",..
2012,"Edmundston, New Brunswick",..
2013,"Edmundston, New Brunswick",..
2009,"Edmundston, New Brunswick",F
2010,"Edmundston, New Brunswick",F
2011,"Edmundston, New Brunswick",F
2012,"Edmundston, New Brunswick",F
2013,"Edmundston, New Brunswick",F
2009,"Edmundston, New Brunswick",F
2010,"Edmundston, New Brunswick",F
2011,"Edmundston, New Brunswick",F
2012,"Edmundston, New Brunswick",F
2013,"Edmundston, New Brunswick",F
2009,"Edmundston, New Brunswick",..
2010,"Edmundston, New Brunswick",F
2011,"Edmundston, New Brunswick",F
2012,"Edmundston, New Brunswick",F
2013,"Edmundston, New Brunswick",F
2009,"Edmundston, New Brunswick",356
2010,"Edmundston, New Brunswick",355
2011,"Edmundston, New Brunswick",356
2012,"Edmundston, New Brunswick",360
2013,"Edmundston, New Brunswick",370
2009,"Edmundston, New Brunswick",411
2010,"Edmundston, New Brunswick",425
2011,"Edmundston, New Brunswick",439
2012,"Edmundston, New Brunswick",426
2013,"Edmundston, New Brunswick",445
2009,"Edmundston, New Brunswick",467
2010,"Edmundston, New Brunswick",481
2011,"Edmundston, New Brunswick",481
2012,"Edmundston, New Brunswick",494
2013,"Edmundston, New Brunswick",509
2009,"Edmundston, New Brunswick",516
2010,"Edmundston, New Brunswick",543
2011,"Edmundston, New Brunswick",523
2012,"Edmundston, New Brunswick",567
2013,"Edmundston, New Brunswick",565
2009,"Edmundston, New Brunswick",381
2010,"Edmundston, New Brunswick",377
2011,"Edmundston, New Brunswick",366
2012,"Edmundston, New Brunswick",383
2013,"Edmundston, New Brunswick",396
2009,"Edmundston, New Brunswick",426
2010,"Edmundston, New Brunswick",434
2011,"Edmundston, New Brunswick",448
2012,"Edmundston, New Brunswick",432
2013,"Edmundston, New Brunswick",459
2009,"Edmundston, New Brunswick",473
2010,"Edmundston, New Brunswick",489
2011,"Edmundston, New Brunswick",481
2012,"Edmundston, New Brunswick",500
2013,"Edmundston, New Brunswick",524
2009,"Edmundston, New Brunswick",543
2010,"Edmundston, New Brunswick",541
2011,"Edmundston, New Brunswick",517
2012,"Edmundston, New Brunswick",F
2013,"Edmundston, New Brunswick",572
2009,"Fredericton, New Brunswick",538
2010,"Fredericton, New Brunswick",524
2011,"Fredericton, New Brunswick",545
2012,"Fredericton, New Brunswick",571
2013,"Fredericton, New Brunswick",591
2009,"Fredericton, New Brunswick",598
2010,"Fredericton, New Brunswick",613
2011,"Fredericton, New Brunswick",637
2012,"Fredericton, New Brunswick",651
2013,"Fredericton, New Brunswick",657
2009,"Fredericton, New Brunswick",725
2010,"Fredericton, New Brunswick",741
2011,"Fredericton, New Brunswick",755
2012,"Fredericton, New Brunswick",782
2013,"Fredericton, New Brunswick",796
2009,"Fredericton, New Brunswick",897
2010,"Fredericton, New Brunswick",937
2011,"Fredericton, New Brunswick",949
2012,"Fredericton, New Brunswick",966
2013,"Fredericton, New Brunswick",964
2009,"Fredericton, New Brunswick",F
2010,"Fredericton, New Brunswick",F
2011,"Fredericton, New Brunswick",F
2012,"Fredericton, New Brunswick",F
2013,"Fredericton, New Brunswick",F
2009,"Fredericton, New Brunswick",F
2010,"Fredericton, New Brunswick",F
2011,"Fredericton, New Brunswick",F
2012,"Fredericton, New Brunswick",F
2013,"Fredericton, New Brunswick",F
2009,"Fredericton, New Brunswick",854
2010,"Fredericton, New Brunswick",879
2011,"Fredericton, New Brunswick",930
2012,"Fredericton, New Brunswick",975
2013,"Fredericton, New Brunswick",977
2009,"Fredericton, New Brunswick",932
2010,"Fredericton, New Brunswick",970
2011,"Fredericton, New Brunswick",965
2012,"Fredericton, New Brunswick",982
2013,"Fredericton, New Brunswick",982
2009,"Fredericton, New Brunswick",538
2010,"Fredericton, New Brunswick",523
2011,"Fredericton, New Brunswick",545
2012,"Fredericton, New Brunswick",571
2013,"Fredericton, New Brunswick",591
2009,"Fredericton, New Brunswick",599
2010,"Fredericton, New Brunswick",613
2011,"Fredericton, New Brunswick",637
2012,"Fredericton, New Brunswick",651
2013,"Fredericton, New Brunswick",656
2009,"Fredericton, New Brunswick",719
2010,"Fredericton, New Brunswick",734
2011,"Fredericton, New Brunswick",745
2012,"Fredericton, New Brunswick",771
2013,"Fredericton, New Brunswick",785
2009,"Fredericton, New Brunswick",896
2010,"Fredericton, New Brunswick",934
2011,"Fredericton, New Brunswick",948
2012,"Fredericton, New Brunswick",964
2013,"Fredericton, New Brunswick",963
2009,"Fredericton, New Brunswick",558
2010,"Fredericton, New Brunswick",558
2011,"Fredericton, New Brunswick",568
2012,"Fredericton, New Brunswick",595
2013,"Fredericton, New Brunswick",604
2009,"Fredericton, New Brunswick",612
2010,"Fredericton, New Brunswick",629
2011,"Fredericton, New Brunswick",644
2012,"Fredericton, New Brunswick",670
2013,"Fredericton, New Brunswick",672
2009,"Fredericton, New Brunswick",729
2010,"Fredericton, New Brunswick",745
2011,"Fredericton, New Brunswick",758
2012,"Fredericton, New Brunswick",779
2013,"Fredericton, New Brunswick",794
2009,"Fredericton, New Brunswick",923
2010,"Fredericton, New Brunswick",951
2011,"Fredericton, New Brunswick",962
2012,"Fredericton, New Brunswick",985
2013,"Fredericton, New Brunswick",986
2009,"Miramichi, New Brunswick",314
2010,"Miramichi, New Brunswick",311
2011,"Miramichi, New Brunswick",336
2012,"Miramichi, New Brunswick",323
2013,"Miramichi, New Brunswick",396
2009,"Miramichi, New Brunswick",471
2010,"Miramichi, New Brunswick",474
2011,"Miramichi, New Brunswick",495
2012,"Miramichi, New Brunswick",492
2013,"Miramichi, New Brunswick",515
2009,"Miramichi, New Brunswick",533
2010,"Miramichi, New Brunswick",538
2011,"Miramichi, New Brunswick",556
2012,"Miramichi, New Brunswick",559
2013,"Miramichi, New Brunswick",570
2009,"Miramichi, New Brunswick",627
2010,"Miramichi, New Brunswick",524
2011,"Miramichi, New Brunswick",656
2012,"Miramichi, New Brunswick",570
2013,"Miramichi, New Brunswick",590
2009,"Miramichi, New Brunswick",..
2010,"Miramichi, New Brunswick",..
2011,"Miramichi, New Brunswick",..
2012,"Miramichi, New Brunswick",..
2013,"Miramichi, New Brunswick",..
2009,"Miramichi, New Brunswick",..
2010,"Miramichi, New Brunswick",..
2011,"Miramichi, New Brunswick",..
2012,"Miramichi, New Brunswick",..
2013,"Miramichi, New Brunswick",..
2009,"Miramichi, New Brunswick",..
2010,"Miramichi, New Brunswick",..
2011,"Miramichi, New Brunswick",..
2012,"Miramichi, New Brunswick",..
2013,"Miramichi, New Brunswick",..
2009,"Miramichi, New Brunswick",..
2010,"Miramichi, New Brunswick",..
2011,"Miramichi, New Brunswick",..
2012,"Miramichi, New Brunswick",..
2013,"Miramichi, New Brunswick",..
2009,"Miramichi, New Brunswick",314
2010,"Miramichi, New Brunswick",311
2011,"Miramichi, New Brunswick",336
2012,"Miramichi, New Brunswick",323
2013,"Miramichi, New Brunswick",396
2009,"Miramichi, New Brunswick",471
2010,"Miramichi, New Brunswick",474
2011,"Miramichi, New Brunswick",495
2012,"Miramichi, New Brunswick",492
2013,"Miramichi, New Brunswick",515
2009,"Miramichi, New Brunswick",533
2010,"Miramichi, New Brunswick",538
2011,"Miramichi, New Brunswick",556
2012,"Miramichi, New Brunswick",559
2013,"Miramichi, New Brunswick",570
2009,"Miramichi, New Brunswick",627
2010,"Miramichi, New Brunswick",524
2011,"Miramichi, New Brunswick",656
2012,"Miramichi, New Brunswick",570
2013,"Miramichi, New Brunswick",590
2009,"Miramichi, New Brunswick",F
2010,"Miramichi, New Brunswick",F
2011,"Miramichi, New Brunswick",F
2012,"Miramichi, New Brunswick",F
2013,"Miramichi, New Brunswick",F
2009,"Miramichi, New Brunswick",481
2010,"Miramichi, New Brunswick",486
2011,"Miramichi, New Brunswick",504
2012,"Miramichi, New Brunswick",501
2013,"Miramichi, New Brunswick",520
2009,"Miramichi, New Brunswick",544
2010,"Miramichi, New Brunswick",546
2011,"Miramichi, New Brunswick",564
2012,"Miramichi, New Brunswick",567
2013,"Miramichi, New Brunswick",581
2009,"Miramichi, New Brunswick",F
2010,"Miramichi, New Brunswick",519
2011,"Miramichi, New Brunswick",F
2012,"Miramichi, New Brunswick",568
2013,"Miramichi, New Brunswick",578
2009,"Moncton, New Brunswick",444
2010,"Moncton, New Brunswick",456
2011,"Moncton, New Brunswick",479
2012,"Moncton, New Brunswick",485
2013,"Moncton, New Brunswick",532
2009,"Moncton, New Brunswick",572
2010,"Moncton, New Brunswick",577
2011,"Moncton, New Brunswick",590
2012,"Moncton, New Brunswick",618
2013,"Moncton, New Brunswick",625
2009,"Moncton, New Brunswick",675
2010,"Moncton, New Brunswick",691
2011,"Moncton, New Brunswick",715
2012,"Moncton, New Brunswick",731
2013,"Moncton, New Brunswick",742
2009,"Moncton, New Brunswick",757
2010,"Moncton, New Brunswick",791
2011,"Moncton, New Brunswick",796
2012,"Moncton, New Brunswick",897
2013,"Moncton, New Brunswick",896
2009,"Moncton, New Brunswick",F
2010,"Moncton, New Brunswick",F
2011,"Moncton, New Brunswick",F
2012,"Moncton, New Brunswick",F
2013,"Moncton, New Brunswick",F
2009,"Moncton, New Brunswick",512
2010,"Moncton, New Brunswick",529
2011,"Moncton, New Brunswick",525
2012,"Moncton, New Brunswick",546
2013,"Moncton, New Brunswick",537
2009,"Moncton, New Brunswick",662
2010,"Moncton, New Brunswick",685
2011,"Moncton, New Brunswick",717
2012,"Moncton, New Brunswick",719
2013,"Moncton, New Brunswick",752
2009,"Moncton, New Brunswick",F
2010,"Moncton, New Brunswick",865
2011,"Moncton, New Brunswick",F
2012,"Moncton, New Brunswick",993
2013,"Moncton, New Brunswick",F
2009,"Moncton, New Brunswick",443
2010,"Moncton, New Brunswick",456
2011,"Moncton, New Brunswick",479
2012,"Moncton, New Brunswick",485
2013,"Moncton, New Brunswick",532
2009,"Moncton, New Brunswick",573
2010,"Moncton, New Brunswick",577
2011,"Moncton, New Brunswick",591
2012,"Moncton, New Brunswick",619
2013,"Moncton, New Brunswick",626
2009,"Moncton, New Brunswick",675
2010,"Moncton, New Brunswick",691
2011,"Moncton, New Brunswick",715
2012,"Moncton, New Brunswick",731
2013,"Moncton, New Brunswick",742
2009,"Moncton, New Brunswick",753
2010,"Moncton, New Brunswick",787
2011,"Moncton, New Brunswick",793
2012,"Moncton, New Brunswick",893
2013,"Moncton, New Brunswick",897
2009,"Moncton, New Brunswick",441
2010,"Moncton, New Brunswick",457
2011,"Moncton, New Brunswick",482
2012,"Moncton, New Brunswick",489
2013,"Moncton, New Brunswick",540
2009,"Moncton, New Brunswick",590
2010,"Moncton, New Brunswick",589
2011,"Moncton, New Brunswick",603
2012,"Moncton, New Brunswick",634
2013,"Moncton, New Brunswick",640
2009,"Moncton, New Brunswick",685
2010,"Moncton, New Brunswick",701
2011,"Moncton, New Brunswick",727
2012,"Moncton, New Brunswick",738
2013,"Moncton, New Brunswick",749
2009,"Moncton, New Brunswick",808
2010,"Moncton, New Brunswick",843
2011,"Moncton, New Brunswick",864
2012,"Moncton, New Brunswick",994
2013,"Moncton, New Brunswick",966
2009,"Saint John, New Brunswick",457
2010,"Saint John, New Brunswick",464
2011,"Saint John, New Brunswick",478
2012,"Saint John, New Brunswick",486
2013,"Saint John, New Brunswick",486
2009,"Saint John, New Brunswick",541
2010,"Saint John, New Brunswick",555
2011,"Saint John, New Brunswick",572
2012,"Saint John, New Brunswick",587
2013,"Saint John, New Brunswick",582
2009,"Saint John, New Brunswick",644
2010,"Saint John, New Brunswick",646
2011,"Saint John, New Brunswick",670
2012,"Saint John, New Brunswick",691
2013,"Saint John, New Brunswick",691
2009,"Saint John, New Brunswick",687
2010,"Saint John, New Brunswick",713
2011,"Saint John, New Brunswick",757
2012,"Saint John, New Brunswick",743
2013,"Saint John, New Brunswick",765
2009,"Saint John, New Brunswick",..
2010,"Saint John, New Brunswick",..
2011,"Saint John, New Brunswick",..
2012,"Saint John, New Brunswick",..
2013,"Saint John, New Brunswick",..
2009,"Saint John, New Brunswick",..
2010,"Saint John, New Brunswick",..
2011,"Saint John, New Brunswick",..
2012,"Saint John, New Brunswick",..
2013,"Saint John, New Brunswick",..
2009,"Saint John, New Brunswick",F
2010,"Saint John, New Brunswick",F
2011,"Saint John, New Brunswick",F
2012,"Saint John, New Brunswick",F
2013,"Saint John, New Brunswick",F
2009,"Saint John, New Brunswick",F
2010,"Saint John, New Brunswick",F
2011,"Saint John, New Brunswick",F
2012,"Saint John, New Brunswick",936
2013,"Saint John, New Brunswick",958
2009,"Saint John, New Brunswick",457
2010,"Saint John, New Brunswick",464
2011,"Saint John, New Brunswick",478
2012,"Saint John, New Brunswick",486
2013,"Saint John, New Brunswick",486
2009,"Saint John, New Brunswick",541
2010,"Saint John, New Brunswick",555
2011,"Saint John, New Brunswick",572
2012,"Saint John, New Brunswick",587
2013,"Saint John, New Brunswick",582
2009,"Saint John, New Brunswick",644
2010,"Saint John, New Brunswick",645
2011,"Saint John, New Brunswick",670
2012,"Saint John, New Brunswick",691
2013,"Saint John, New Brunswick",691
2009,"Saint John, New Brunswick",680
2010,"Saint John, New Brunswick",704
2011,"Saint John, New Brunswick",750
2012,"Saint John, New Brunswick",731
2013,"Saint John, New Brunswick",753
2009,"Saint John, New Brunswick",459
2010,"Saint John, New Brunswick",470
2011,"Saint John, New Brunswick",477
2012,"Saint John, New Brunswick",495
2013,"Saint John, New Brunswick",499
2009,"Saint John, New Brunswick",551
2010,"Saint John, New Brunswick",558
2011,"Saint John, New Brunswick",580
2012,"Saint John, New Brunswick",593
2013,"Saint John, New Brunswick",594
2009,"Saint John, New Brunswick",646
2010,"Saint John, New Brunswick",653
2011,"Saint John, New Brunswick",676
2012,"Saint John, New Brunswick",701
2013,"Saint John, New Brunswick",700
2009,"Saint John, New Brunswick",700
2010,"Saint John, New Brunswick",714
2011,"Saint John, New Brunswick",799
2012,"Saint John, New Brunswick",736
2013,"Saint John, New Brunswick",758
2009,"Alma, Quebec",318
2010,"Alma, Quebec",324
2011,"Alma, Quebec",332
2012,"Alma, Quebec",330
2013,"Alma, Quebec",326
2009,"Alma, Quebec",379
2010,"Alma, Quebec",386
2011,"Alma, Quebec",394
2012,"Alma, Quebec",383
2013,"Alma, Quebec",392
2009,"Alma, Quebec",450
2010,"Alma, Quebec",461
2011,"Alma, Quebec",474
2012,"Alma, Quebec",479
2013,"Alma, Quebec",489
2009,"Alma, Quebec",477
2010,"Alma, Quebec",499
2011,"Alma, Quebec",509
2012,"Alma, Quebec",509
2013,"Alma, Quebec",516
2009,"Alma, Quebec",F
2010,"Alma, Quebec",..
2011,"Alma, Quebec",F
2012,"Alma, Quebec",..
2013,"Alma, Quebec",..
2009,"Alma, Quebec",..
2010,"Alma, Quebec",..
2011,"Alma, Quebec",..
2012,"Alma, Quebec",..
2013,"Alma, Quebec",..
2009,"Alma, Quebec",F
2010,"Alma, Quebec",F
2011,"Alma, Quebec",F
2012,"Alma, Quebec",F
2013,"Alma, Quebec",..
2009,"Alma, Quebec",F
2010,"Alma, Quebec",..
2011,"Alma, Quebec",F
2012,"Alma, Quebec",F
2013,"Alma, Quebec",..
2009,"Alma, Quebec",320
2010,"Alma, Quebec",324
2011,"Alma, Quebec",335
2012,"Alma, Quebec",330
2013,"Alma, Quebec",326
2009,"Alma, Quebec",379
2010,"Alma, Quebec",386
2011,"Alma, Quebec",394
2012,"Alma, Quebec",383
2013,"Alma, Quebec",392
2009,"Alma, Quebec",449
2010,"Alma, Quebec",459
2011,"Alma, Quebec",473
2012,"Alma, Quebec",478
2013,"Alma, Quebec",489
2009,"Alma, Quebec",476
2010,"Alma, Quebec",499
2011,"Alma, Quebec",508
2012,"Alma, Quebec",506
2013,"Alma, Quebec",516
2009,"Alma, Quebec",320
2010,"Alma, Quebec",319
2011,"Alma, Quebec",333
2012,"Alma, Quebec",323
2013,"Alma, Quebec",307
2009,"Alma, Quebec",389
2010,"Alma, Quebec",393
2011,"Alma, Quebec",398
2012,"Alma, Quebec",387
2013,"Alma, Quebec",399
2009,"Alma, Quebec",428
2010,"Alma, Quebec",428
2011,"Alma, Quebec",451
2012,"Alma, Quebec",453
2013,"Alma, Quebec",468
2009,"Alma, Quebec",480
2010,"Alma, Quebec",484
2011,"Alma, Quebec",500
2012,"Alma, Quebec",503
2013,"Alma, Quebec",508
2009,"Amos, Quebec",346
2010,"Amos, Quebec",351
2011,"Amos, Quebec",358
2012,"Amos, Quebec",379
2013,"Amos, Quebec",382
2009,"Amos, Quebec",375
2010,"Amos, Quebec",394
2011,"Amos, Quebec",402
2012,"Amos, Quebec",409
2013,"Amos, Quebec",417
2009,"Amos, Quebec",467
2010,"Amos, Quebec",484
2011,"Amos, Quebec",494
2012,"Amos, Quebec",516
2013,"Amos, Quebec",540
2009,"Amos, Quebec",519
2010,"Amos, Quebec",537
2011,"Amos, Quebec",552
2012,"Amos, Quebec",574
2013,"Amos, Quebec",574
2009,"Amos, Quebec",..
2010,"Amos, Quebec",..
2011,"Amos, Quebec",..
2012,"Amos, Quebec",..
2013,"Amos, Quebec",..
2009,"Amos, Quebec",..
2010,"Amos, Quebec",..
2011,"Amos, Quebec",..
2012,"Amos, Quebec",..
2013,"Amos, Quebec",..
2009,"Amos, Quebec",..
2010,"Amos, Quebec",F
2011,"Amos, Quebec",F
2012,"Amos, Quebec",F
2013,"Amos, Quebec",F
2009,"Amos, Quebec",..
2010,"Amos, Quebec",..
2011,"Amos, Quebec",..
2012,"Amos, Quebec",..
2013,"Amos, Quebec",..
2009,"Amos, Quebec",346
2010,"Amos, Quebec",351
2011,"Amos, Quebec",358
2012,"Amos, Quebec",379
2013,"Amos, Quebec",382
2009,"Amos, Quebec",375
2010,"Amos, Quebec",394
2011,"Amos, Quebec",402
2012,"Amos, Quebec",409
2013,"Amos, Quebec",417
2009,"Amos, Quebec",467
2010,"Amos, Quebec",483
2011,"Amos, Quebec",494
2012,"Amos, Quebec",515
2013,"Amos, Quebec",539
2009,"Amos, Quebec",519
2010,"Amos, Quebec",537
2011,"Amos, Quebec",552
2012,"Amos, Quebec",574
2013,"Amos, Quebec",574
2009,"Amos, Quebec",345
2010,"Amos, Quebec",343
2011,"Amos, Quebec",357
